run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.0897675976157188,19.129104945662466,2.2170992868004644,0.0500401228569375,0.075657302010754,0.6907894736842105
raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.0897675976157188,19.129104945662466,2.2170992868004644,0.0500401228569375,0.075657302010754,0.6907894736842105
raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.08976759761571884,19.129104945662466,2.2170992868004644,0.05004012285693756,0.07565730201075406,0.6907894736842105
