run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.0576695762574672,7.7436620293933665,2.328100382423006,0.0194079675962296,0.037086233630359,0.618421052631579
vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.0576695762574672,7.7436620293933665,2.328100382423006,0.0194079675962296,0.037086233630359,0.618421052631579
vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.048322826623916626,6.826424946945678,2.503752294274975,0.007223548756760538,0.027020059042593046,0.5855263157894737
