run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,language_group,152,6,0.0520467050373554,7.101912862233094,2.870440162794857,0.0008948864302836,0.0145418108972605,0.5789473684210527
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,language_group,152,6,0.0520467050373554,7.101912862233094,2.870440162794857,0.0008948864302836,0.0145418108972605,0.5789473684210527
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,language_group,152,6,0.034797389060258865,6.451411110220564,2.814126022708816,-0.0024081235851424678,0.010422539838187143,0.5723684210526315
