row,title_lat_norm
205,tumi kata sundara
206,nila naya়na
207,yadi prrithivira sava alo
208,nirave nibhrrite
209,kona kona samaya়
210,jivanera yata sukhe duhkhe
211,antahina vedana
212,nila
213,sumana manera meyeti
214,jivanera kichu katha thake
215,naya়ne naya়
216,eto sukha
217,pedela mari mari
218,tomaya dilama bhuvana da nara hasi
219,nishirate a ndharete va nshi vajaya ke
220,ei jaduta yadi satyi haye yeta
221,aja ei vrrishtira kanna dekhe mane pa dalo tomaya
222,eto kashta mene neya়a yaya় na
223,o madhavi go
224,ami jhada়era kache rekhe gelama amara thikana
225,emana ekata
226,pagala mana
227,chokherai jale lekha
228,yebhavei tumi sakala dekho
229,guru
230,kakhano bhalovasani
231,kona pakhi dhara dite chaya
232,patha haravo valei evara pathe nemechi
233,abhishapa
234,o maya়na
235,svadhinata kalera likhana
236,emanao nishirate
237,sudhamshu
238,jata yaya়
239,katha
240,sharave sharava
241,pakhi uda়e ya
242,patra dio
243,tumi yadi nadi hao
244,yadi kakhano bhula haya়e yaya়
245,ishvara ache
246,susmitara savuja oda়na
247,separeshana
248,laga bhelaki laga
249,sinaya় sinaya়
250,khule dekha manata
251,de dauda়
252,valuchara
253,madhyaratera dakapiya়na
254,ye pathe pathika nei
255,veduina
256,taraya় taraya়
257,katata ka ngala ami
258,ja ngale bhalavasa
259,yatra
260,nagara vaula
261,mannana miya়ara titasa malama
262,tira hara ei dheuyera sagara
263,navajivanera katha valachi
264,naga naginira khela
265,haragachera nurajahana
266,tave vandhu nauka bheda়ao
267,jharana theke nadi
268,amara bhalavasa
269,dhakara prema
270,peshadara khuni
271,ichchera palaka
272,tumi jana
273,ramvaja
274,riksaoya়ala
275,palataka
276,sada eyastre
277,agera janame
278,pathera vapa
279,daya়ala
280,ekata prema dao
281,rakhe allaha mare ke
282,patha chalite yadi chakite kabhu dekha haya
283,chipa nauko
284,ichche manusha
285,alapana tumi more bhule gecha
286,ara phirano yaya na kena
287,amara khavara aja rakha kina rakha ke jane
288,nila chokha
289,sundara dharani
290,priya় thikana
291,sonara meya়e
292,andhakarera ei ratera sheshe
293,chokhete shaona gaya
294,tare ami chokhe dekheni
295,ma
296,aja theke eka hajara rajashri 4
297,ei manatare
298,yete chai ami oi niralaya়
299,rupera vanya
300,jana re
301,o dura vasi
302,yavi kata dure
303,savara vamladesha
304,bhule geche se sura njana
305,jvalate de na
306,jhunajhuna mayana nacho na
307,tavuo bhalavasi
308,antara
309,eka eke eka dui eke dui
310,ekhanao majhe majhe
311,tomara chithi
312,kothaya harali tui
313,dinera pare dina ye gela
314,samane chalo vamladesha
315,priya vamladesha
316,vamladesha
317,jago vamladesha
318,shravana o kashta
