row,title_lat_norm
944,svarnali bhore
945,nirjana shalavane
946,cha nda sajalo
947,tajamahala
948,harano dina
949,jadu
950,eka jha nka prajapati
951,eta kashta kena bhalavasaya়
952,svadesha amaya় kshama kara mago
953,dure vahu dure
954,prashna
955,bhule gechi kave
956,abhimane naya
957,ei dina chiradina rave
958,ai patha dure dure svapna majhari nesha
959,ekaki
960,amara prathama
961,pata jhare yaya
962,bhiru mana
963,tomara ashaya
964,rajakarera talika chai
965,tumi vesha vadale gecho
966,mukharita jivanera chalara va nke
967,tore putulera mata kare sajiye
968,ka nnda kene mana
969,bhule gecha tumi
970,ye pathe pathika nei
971,vandhu tui
972,chale gecha tumi sandhya rate
973,krrishnachu dara chaye chaye
974,tumi svarthapara
975,yetha ramadhanu uthe hese
976,padma patara pani naya
977,tomara ai chokhera va nshi
978,sarathi
979,bhule gechi shanta
980,shravana e sandhyaya mana ye asahaya
981,ami chirakala premera ka ngala
982,deko na amare deko na
983,chandrima ratrite
984,ajo vale koyeliya
985,sparsha
986,maunata
