run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,4.0,,152,6,0.0505444929003715,7.372221333404056,2.7605094551461,-0.0043391047789512,0.0100317710528781,0.5657894736842105
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,4.0,,152,6,0.0505444929003715,7.372221333404056,2.7605094551461,-0.0043391047789512,0.0100317710528781,0.5657894736842105
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,4.0,,152,6,0.04639114812016487,6.772540109627349,2.8707019015628443,-0.0010992266101216615,0.011973341348352469,0.5657894736842105
