run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0505297258496284,7.371985759125457,2.760831961276294,-0.0043391047789512,0.0100317710528781,0.5657894736842105
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0505297258496284,7.371985759125457,2.760831961276294,-0.0043391047789512,0.0100317710528781,0.5657894736842105
vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.046126559376716614,6.750150689087792,2.8675031301217295,-0.0004015368842529704,0.013001767578573435,0.5723684210526315
