run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
pca,lyrics_tfidf,mfcc,mlp,kmeans,2,0.5,5,16,1.0,,4044,2,0.363094687461853,2016.655610138676,1.2282444012824727,0.9930864371003628,0.982330384500496,0.998269040553907
pca,lyrics_tfidf,mfcc,mlp,kmeans,2,0.5,5,16,1.0,,4044,2,0.363094687461853,2016.655610138676,1.2282444012824727,0.9930864371003628,0.982330384500496,0.998269040553907
pca,lyrics_tfidf,mfcc,mlp,kmeans,2,0.5,5,16,1.0,,4044,2,0.363094687461853,2016.655610138676,1.2282444012824727,0.9930864371003629,0.9823303845004959,0.998269040553907
