run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.159644529223442,28.19461909291463,1.554694224325355,0.0537059654493601,0.0830912597637305,0.6776315789473685
pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.159644529223442,28.19461909291463,1.554694224325355,0.0537059654493601,0.0830912597637305,0.6776315789473685
pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.15964452922344208,28.19461909291463,1.554694224325355,0.05370596544936013,0.08309125976373052,0.6776315789473685
